tconst	ordering	nconst	category	job	characters	img_url_asset
tt1637688	10	nm0821205	editor	\N	\N
tt1637688	1	nm0005493	actor	\N	["Will Salas"]
tt1637688	2	nm1086543	actress	\N	["Sylvia Weis"]
tt1637688	3	nm0614165	actor	\N	["Raymond Leon"]
tt1637688	4	nm1312575	actress	\N	["Rachel Salas"]	
tt1637688	5	nm0629272	director	\N	\N
tt1637688	6	nm0008953	producer	producer	\N
tt1637688	7	nm0628080	producer	producer	\N
tt1637688	8	nm0035661	composer	\N	\N
tt1637688	9	nm0005683	cinematographer	director of photography	\N
tt15398776	10	nm3234869	composer	\N	\N
tt15398776	1	nm0614165	actor	\N	["J. Robert Oppenheimer"]
tt15398776	2	nm1289434	actress	\N	["Kitty Oppenheimer"]
tt15398776	3	nm0000354	actor	\N	["Leslie Groves"]
tt15398776	4	nm0000375	actor	\N	["Lewis Strauss"]
tt15398776	5	nm0634240	director	\N	\N
tt15398776	6	nm3284831	writer	based on the book "American Prometheus: The Triumph and Tragedy of J. Robert Oppenheimer" by	\N
tt15398776	7	nm2452558	writer	based on the book "American Prometheus: The Triumph and Tragedy of J. Robert Oppenheimer" by	\N
tt15398776	8	nm0746273	producer	producer	\N
tt15398776	9	nm0858799	producer	producer	\N
tt0046593	10	nm0002019	actor	\N	"[""James Boone"",""Moochie Morgan"",""Johnny Lincoln Clem""]"
tt0046593	1	nm0000370	self	\N	"[""Self - Host"",""Self"",""Mickey Mouse""]"
tt0046593	2	nm0293659	actor	\N	"[""Ludwig Von Drake"",""Narrator"",""'Fake' Donald Duck""]"
tt0046593	3	nm0621699	actor	\N	"[""Donald Duck"",""Dewey"",""Huey""]"
tt0046593	4	nm0001620	actor	\N	"[""Old Bill Williams"",""Plunkett"",""Newt Pribble""]"
tt0046593	5	nm0088479	writer	developed by	\N
tt0046593	6	nm0874502	actor	\N	"[""Texas John Slaughter""]"
tt0046593	7	nm0595040	actor	\N	"[""Gallegher"",""Dave Jones"",""Harley Mason""]"
tt0046593	8	nm0382548	actor	\N	"[""Narrator"",""Self"",""Self - Narrator""]"
tt0046593	9	nm0002088	self	\N	"[""Self"",""Annette Aliotto"",""Dinah Wilcox""]"
tt0086734	10	nm0117888	actor	\N	"[""Officer Righetti"",""Metro Officer"",""Metro Officer #1""]"
tt0086734	1	nm0004885	actor	\N	"[""Rick Hunter""]"
tt0086734	2	nm0469671	actress	\N	"[""Dee Dee McCall""]"
tt0086734	3	nm0356251	actor	\N	"[""Capt. Charles Devane""]"
tt0086734	4	nm0177227	actor	\N	"[""Barney"",""Barney Udall"",""Coroner""]"
tt0086734	5	nm0526967	writer	created by	\N
tt0086734	6	nm0606541	actor	\N	"[""Sporty James"",""'Sporty' James""]"
tt0086734	7	nm0790468	actor	\N	"[""Lt. Ambrose Finn"",""Lt. Finn""]"
tt0086734	8	nm0926215	actor	\N	"[""Sgt. Bernie Terwilliger"",""Bernie Terwilliger""]"
tt0086734	9	nm0001117	actor	\N	"[""Capt. Wyler"",""Captain Wyler"",""Deputy Chief Wyler""]"
tt0088655	10	nm0586528	actor	\N	"[""Walla""]"
tt0088655	1	nm0299192	actor	\N	"[""Leon""]"
tt0088655	2	nm0376316	actor	\N	"[""Leon (1994)"",""Leon"",""Voomer (1994)""]"
tt0088655	3	nm0603105	actor	\N	"[""Leon (1995)""]"
tt0088655	4	nm0559640	actress	\N	"[""Gina""]"
tt0088655	5	nm0860712	actress	\N	"[""Gina (1994)""]"
tt0088655	6	nm0286371	actress	\N	"[""Gina (1995)"",""Gina""]"
tt0088655	7	nm0277383	actor	\N	"[""Dieork (1995)""]"
tt0088655	8	nm0999118	actor	\N	"[""Walla (1995)""]"
tt0088655	9	nm0312656	actor	\N	"[""Dieork""]"
tt0094456	10	nm4468316	actor	\N	"[""Commissaire Nicolas Villars"",""Inspecteur Nicolas Villars""]"
tt0094456	1	nm0491596	actor	\N	"[""Thomas Dorn""]"
tt0094456	2	nm0422114	actor	\N	"[""Peter 'Bernd' Brucker""]"
tt0094456	3	nm0278836	actress	\N	"[""Bigi Herzog""]"
tt0094456	4	nm0705855	actor	\N	"[""Christian Merian""]"
tt0094456	5	nm0842845	actor	\N	"[""Kunrath""]"
tt0094456	6	nm0007746	actor	\N	"[""Commissario Bruno Corso""]"
tt0094456	7	nm0772694	actor	\N	"[""Oberinspektor Nurmeier""]"
tt0094456	8	nm0345570	actor	\N	"[""Miguel Bernauer""]"
tt0094456	9	nm0797985	actress	\N	"[""Erika""]"
tt0094525	10	nm0428450	actor	\N	"[""Police Constable"",""Constable""]"
tt0094525	1	nm0837064	actor	\N	"[""Hercule Poirot""]"
tt0094525	2	nm0292140	actor	\N	"[""Captain Hastings"",""Hastings"",""Lieutenant Hastings""]"
tt0094525	3	nm0413946	actor	\N	"[""Chief Inspector Japp"",""Assistant Commissioner Japp"",""Japp""]"
tt0094525	4	nm0602954	actress	\N	"[""Miss Lemon""]"
tt0094525	5	nm0947379	actor	\N	"[""George"",""Laverton West""]"
tt0094525	6	nm0910738	actress	\N	"[""Ariadne Oliver""]"
tt0094525	7	nm0064826	actor	\N	"[""Newsreader"",""Mr. Cameron"",""News Commentator""]"
tt0094525	8	nm0514561	actor	\N	"[""Dicker""]"
tt0094525	9	nm0542410	actor	\N	"[""Sergeant"",""Police Sergeant""]"
tt0095670	10	nm0643505	actress	\N	"[""Alicia"",""Marisa en cine""]"
tt0095670	1	nm0252655	actor	\N	"[""End Credits"",""Lázaro"",""Ricardo""]"
tt0095670	2	nm0637181	actor	\N	"[""End Credits"",""Fermín""]"
tt0095670	3	nm1207753	actor	\N	"[""Camarero"",""Taxista""]"
