nconst	primaryName	birthYear	deathYear	primaryProfession	knownForTitles	img_url_asset
nm0000004	John Belushi	1949	1982	actor,soundtrack,writer	tt0077975,tt0078723,tt0080455,tt0072562
nm0000005	Ingmar Bergman	1918	2007	writer,director,actor	tt0050986,tt0050976,tt0069467,tt0083922
nm0000008	Marlon Brando	1924	2004	actor,soundtrack,director	tt0070849,tt0047296,tt0068646,tt0078788
nm0000009	Richard Burton	1925	1984	actor,soundtrack,producer	tt0059749,tt0057877,tt0087803,tt0061184
nm0000010	James Cagney	1899	1986	actor,soundtrack,director	tt0035575,tt0031867,tt0029870,tt0042041
nm0000018	Kirk Douglas	1916	2020	actor,producer,soundtrack	tt0050825,tt0054331,tt0049456,tt0080736
nm0000019	Federico Fellini	1920	1993	writer,director,actor	tt0050783,tt0056801,tt0071129,tt0053779
nm0000024	John Gielgud	1904	2000	actor,writer,director	tt0045943,tt0071877,tt0117631,tt0082031
nm0000027	Alec Guinness	1914	2000	actor,soundtrack,writer	tt0076759,tt0041546,tt0050212,tt0051739
nm0000031	Katharine Hepburn	1907	2003	actress,soundtrack,writer	tt0032904,tt0043265,tt0063227,tt0082846
nm0000032	Charlton Heston	1923	2008	actor,director,soundtrack	tt0049833,tt0063442,tt0052618,tt0067525
nm0000033	Alfred Hitchcock	1899	1980	director,producer,writer	tt0052357,tt0034248,tt0054215,tt0053125
nm0000036	Buster Keaton	1895	1966	actor,writer,director	tt0015324,tt0017925,tt0016332,tt0015163
nm0000037	Gene Kelly	1912	1996	soundtrack,actor,miscellaneous	tt0043278,tt0045152,tt0053946,tt0041716
nm0000040	Stanley Kubrick	1928	1999	director,writer,producer	tt0062622,tt0066921,tt0120663,tt0072684
nm0000041	Akira Kurosawa	1910	1998	writer,director,assistant_director	tt0080979,tt0051808,tt0047478,tt0089881
nm0000044	Burt Lancaster	1913	1994	actor,producer,soundtrack	tt0057091,tt0051036,tt0045793,tt0085859
nm0000045	Bruce Lee	1940	1973	actor,writer,miscellaneous	tt0067824,tt0068767,tt0068935,tt0070034
nm0000046	Vivien Leigh	1913	1967	actress,soundtrack,writer	tt0034272,tt0044081,tt0033238,tt0031381
nm0000048	Peter Lorre	1904	1964	actor,soundtrack,writer	tt0034583,tt0036613,tt0022100,tt0033870
nm0000050	Groucho Marx	1890	1977	soundtrack,actor,writer	tt0023027,tt0026778,tt0023969,tt0028772
nm0000051	James Mason	1909	1984	actor,producer,writer	tt0047522,tt0053125,tt0056193,tt0084855
nm0000053	Robert Mitchum	1917	1997	actor,soundtrack,producer	tt0056197,tt0050356,tt0048424,tt0039689
nm0000054	Marilyn Monroe	1926	1962	soundtrack,actress,writer	tt0045891,tt0048605,tt0053291,tt0045810
nm0000056	Paul Newman	1925	2008	actor,producer,director	tt0084855,tt0110684,tt0054997,tt0257044
nm0000057	David Niven	1910	1983	actor,producer,soundtrack	tt0052182,tt0057413,tt0074937,tt0048960
nm0000059	Laurence Olivier	1907	1989	actor,producer,director	tt0074860,tt0069281,tt0077269,tt0032976
nm0000062	Elvis Presley	1935	1977	music_artist,soundtrack,actor	tt0053848,tt0056023,tt0056585,tt0054692
nm0000063	Anthony Quinn	1915	2001	actor,producer,soundtrack	tt0049456,tt0056172,tt0057831,tt0064952
nm0000064	Edward G. Robinson	1893	1973	actor,soundtrack,writer	tt0038991,tt0040506,tt0038057,tt0036775
